NVD-CWE-noinfo;Category with no information
NVD-CWE-Other;Non classified Category
CWE-384;Session Fixation
CWE-94;Improper Control of Generation of Code ('Code Injection')
CWE-425;Direct Request ('Forced Browsing')
CWE-522;Insufficiently Protected Credentials
CWE-269;Improper Privilege Management
CWE-400;Uncontrolled Resource Consumption
CWE-476;NULL Pointer Dereference
CWE-311;Missing Encryption of Sensitive Data
CWE-120;Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CWE-732;Incorrect Permission Assignment for Critical Resource
CWE-255;Weaknesses in this category are related to the management of credentials.
CWE-284;"Improper Access Control. The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor. Access control involves the use of several protection mechanisms such as: Authentication, Authorization, Accountability. Attackers can compromise the security of the software by gaining privileges, reading sensitive information, executing commands, evading detection, etc."
CWE-310;Weaknesses in this category are related to the use of cryptography.
CWE-119;Improper Restriction of Operations within the Bounds of a Memory Buffer. The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer. Certain languages allow direct addressing of memory locations and do not automatically ensure that these locations are valid for the memory buffer that is being referenced. This can cause read or write operations to be performed on memory locations that may be associated with other variables, data structures, or internal program data. 
CWE-200;Information Exposure. An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information. Many information exposures are resultant (e.g. PHP script error revealing the full path of the program), but they can also be primary (e.g. timing discrepancies in cryptography). There are many different types of problems that involve information exposures. Their severity can range widely depending on the type of information that is revealed.
CWE-798;Use of Hard-coded Credentials. The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. Hard-coded credentials typically create a significant hole that allows an attacker to bypass the authentication that has been configured by the software administrator. This hole might be difficult for the system administrator to detect. Even if detected, it can be difficult to fix, so the administrator may be forced into disabling the product entirely.
CWE-264;Authentication Bypass by Capture-replay. A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes). Capture-replay attacks are common and can be difficult to defeat without cryptography. They are a subset of network injection attacks that rely on observing previously-sent valid commands, then changing them slightly if necessary and resending the same commands to the server.
